stein_product,lzb_product,stein_cover,stein_price,stein_list,Wauwatosa,Wauwatosa_basis,Wauwatosa_promo,Madison,Madison_basis,Madison_promo
Pinnacle Rocker Recliner,Pinnacle Rocking Recliner,D209562,899.99,999.99,909.0,cheapest fabric,Y,1349.0,cheapest fabric,N
Jasper Rocker Recliner,Jasper Rocking Recliner,D210062,729.99,811.1,769.0,cheapest fabric,Y,1199.0,cheapest fabric,N
Ava 3-Pc. Power Headrest Reclining Sofa,Ava Power Reclining Sofa w/ Headrest,Default,2021.39,3379.97,2649.0,cheapest fabric,Y,3739.0,cheapest fabric,N
Astor Rocker Recliner,Astor Rocking Recliner,Mushroom,1099.99,1222.21,1189.0,cheapest fabric,Y,1619.0,cheapest fabric,N
Jay Fully Loaded Rocker Recliner With Wireless Remote,Jay Power Rocking Recliner w/ Headrest & Lumbar,C180969,1399.99,1555.54,1809.0,same cover,Y,2329.0,same cover,N
Jay Power Headrest Reclining Loveseat,Jay Power Reclining Loveseat w/ Headrest & Console,C180974,2099.99,2333.32,2369.0,same cover,Y,3429.0,same cover,N
Morrison Fully Loaded Rocker Recliner With Wireless Remote,Morrison Power Rocking Recliner w/ Headrest & Lumbar,Default,1499.99,1499.99,1679.0,cheapest fabric,Y,2329.0,cheapest fabric,N
Ava 2-Pc. Power Headrest Reclining Loveseat,Ava Power Reclining Loveseat w/ Headrest & Console,Default,1624.49,2719.98,2719.0,cheapest fabric,Y,3859.0,cheapest fabric,N
Norton Rocker Recliner,Norton Rocking Recliner,Default,659.99,733.32,399.0,cheapest fabric,Y,1039.0,cheapest fabric,N
Cade Fully Loaded Reclining Sofa With Wireless Remote,Cade Power Reclining Sofa w/ Headrest & Lumbar,Default,2399.99,2666.66,2579.0,cheapest fabric,Y,3719.0,cheapest fabric,N
Cade Fully Loaded Recliner With Wireless Remote,Cade Power Rocking Recliner w/ Headrest & Lumbar,Default,1349.99,1499.99,1099.0,cheapest fabric,Y,2299.0,cheapest fabric,N
